Title,Conference,Type,Application,MLTech,OpenReviewLink
QuaDiM: A Conditional Diffusion Model For Quantum State Property Estimation,ICLR_2025,Poster,Physics,Diffusion_Model,https://openreview.net/forum?id=P7f55HQtV8
"Range, not Independence, Drives Modularity in Biologically Inspired Representations",ICLR_2025,Poster,Neurosciences,Representation_Learning,https://openreview.net/forum?id=BxQkDog4ti
Reading Your Heart: Learning ECG Words and Sentences via Pre-training ECG Language Model,ICLR_2025,Poster,Healthcare,Language_Model,https://openreview.net/forum?id=6Hz1Ko087B
Real-time design of architectural structures with differentiable mechanics and neural networks,ICLR_2025,Poster,Physics,Neural_Network,https://openreview.net/forum?id=Tpjq66xwTq
REBIND: Enhancing Ground-state Molecular Conformation Prediction via Force-Based Graph Rewiring,ICLR_2025,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=WNIEr5kydF
Redefining the task of Bioactivity Prediction,ICLR_2025,Poster,Chemistry,,https://openreview.net/forum?id=S8gbnkCgxZ
Reframing Structure-Based Drug Design Model Evaluation via Metrics Correlated to Practical Needs,ICLR_2025,Poster,Chemistry,,https://openreview.net/forum?id=RyWypcIMiE
Regulatory DNA Sequence Design with Reinforcement Learning,ICLR_2025,Poster,Biology,Reinforcement_Learning,https://openreview.net/forum?id=F4IMiNhim1
Reinforcement Learning for Control of Non-Markovian Cellular Population Dynamics,ICLR_2025,Poster,Biology,Reinforcement_Learning,https://openreview.net/forum?id=dsHpulHpOK
Reliable and Diverse Evaluation of LLM Medical Knowledge Mastery,ICLR_2025,Poster,Healthcare,,https://openreview.net/forum?id=TXfzH933qV
ReNovo: Retrieval-Based De Novo Mass Spectrometry Peptide Sequencing,ICLR_2025,Poster,Biology,,https://openreview.net/forum?id=uQnvYP7yX9
RESuM: A Rare Event Surrogate Model for  Physics Detector Design,ICLR_2025,Poster,Physics,,https://openreview.net/forum?id=lqTILjL6lP
Rethinking and Improving Autoformalization: Towards a Faithful Metric and a Dependency Retrieval-based Approach,ICLR_2025,Poster,Math,Optimization,https://openreview.net/forum?id=hUb2At2DsQ
MADGEN: Mass-Spec attends to De Novo Molecular generation,ICLR_2025,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=78tc3EiUrW
MAGNet: Motif-Agnostic Generation of Molecules from Scaffolds,ICLR_2025,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=5FXKgOxmb2
MAESTRO: Masked Encoding Set Transformer with Self-Distillation,ICLR_2025,Poster,Biology,Transformer,https://openreview.net/forum?id=FEZOLWexPb
MAGE: Model-Level Graph Neural Networks Explanations via Motif-based Graph Generation,ICLR_2025,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=vue9P1Ypk6
MatExpert: Decomposing Materials Discovery By Mimicking Human Experts,ICLR_2025,Poster,Materials,Transformer,https://openreview.net/forum?id=AUBvo4sxVL
MathCoder2: Better Math Reasoning from Continued Pretraining on Model-translated Mathematical Code,ICLR_2025,Poster,Math,Transformer,https://openreview.net/forum?id=1Iuw1jcIrf
MathGAP: Out-of-Distribution Evaluation on Problems with Arbitrarily Complex Proofs,ICLR_2025,Poster,Math,Transformer,https://openreview.net/forum?id=5ck9PIrTpH
MAVIS: Mathematical Visual Instruction Tuning with an Automatic Data Engine,ICLR_2025,Poster,Math,Transformer,https://openreview.net/forum?id=MnJzJ2gvuf
MGCFNN: A Neural MultiGrid Solver with Novel Fourier Neural Network for High Wave Number Helmholtz Equations,ICLR_2025,Poster,Physics,Neural_Network,https://openreview.net/forum?id=ThhQyIruEs
Metalic: Meta-Learning In-Context with Protein Language Models,ICLR_2025,Poster,Biology,Language_Model,https://openreview.net/forum?id=TUKt7ag0qq
Metamizer: A Versatile Neural Optimizer for Fast and Accurate Physics Simulations,ICLR_2025,Poster,Physics,Neural_Network,https://openreview.net/forum?id=60TXv9Xif5
MGDA Converges under Generalized Smoothness_ Provably,ICLR_2025,Poster,Math,Optimization,https://openreview.net/forum?id=wgDB1QuxIA
MOFFlow: Flow Matching for Structure Prediction of Metal-Organic Frameworks,ICLR_2025,Poster,Materials,Diffusion_Model,https://openreview.net/forum?id=dNT3abOsLo
MolSpectra: Pre-training 3D Molecular Representation with Multi-modal Energy Spectra,ICLR_2025,Poster,Chemistry,Transformer,https://openreview.net/forum?id=xJDxVDG3x2
NExT-Mol: 3D Diffusion Meets 1D Language Modeling for 3D Molecule Generation,ICLR_2025,Poster,Chemistry,Diffusion_Model,https://openreview.net/forum?id=p66a00KLWN
Neural Fluid Simulation on Geometric Surfaces,ICLR_2025,Poster,Physics,Neural_Network,https://openreview.net/forum?id=58lbAsXCoZ
Neural Sampling from Boltzmann Densities: Fisher-Rao Curves in the Wasserstein Geometry,ICLR_2025,Poster,Physics,Generative_Model,https://openreview.net/forum?id=TUvg5uwdeG
Multi-objective antibody design with constrained preference optimization,ICLR_2025,Poster,Biology,Transformer,https://openreview.net/forum?id=4ktJJBvvUd
Multi-domain Distribution Learning for De Novo Drug Design,ICLR_2025,Poster,Chemistry,Diffusion_Model,https://openreview.net/forum?id=g3VCIM94ke
HELM: Hierarchical Encoding for mRNA Language Modeling,ICLR_2025,Poster,Biology,Language_Model,https://openreview.net/forum?id=MMHqnUOnl0
PepHAR: Hotspot-Driven Peptide Design via Multi-Fragment Autoregressive Extension,ICLR_2025,Poster,Biology,Generative_Model,https://openreview.net/forum?id=jqmptcSNVG
Hierarchical Uncertainty Estimation for Learning-based Registration in Neuroimaging,ICLR_2025,Poster,Healthcare,Neural_Network,https://openreview.net/forum?id=w8LMtFY97b
High-Dynamic Radar Sequence Prediction for Weather Nowcasting Using Spatiotemporal Coherent Gaussian Representation,ICLR_2025,Poster,Earth_Sciences,,https://openreview.net/forum?id=Cjz9Xhm7sI
Holistically Evaluating the Environmental Impact of Creating Language Models,ICLR_2025,Poster,Earth_Sciences,,https://openreview.net/forum?id=04qx93Viwj
HR-Extreme: A High-Resolution Dataset for Extreme Weather Forecasting,ICLR_2025,Poster,Earth_Sciences,,https://openreview.net/forum?id=5AtlfHYCPa
Hyperbolic Genome Embeddings,ICLR_2025,Poster,Biology,Neural_Network,https://openreview.net/forum?id=NkGDNM8LB0
IgGM: A Generative Model for Functional Antibody and Nanobody Design,ICLR_2025,Poster,Biology,Generative_Model,https://openreview.net/forum?id=zmmfsJpYcq
Immunogenicity Prediction with Dual Attention Enables Vaccine Target Selection,ICLR_2025,Poster,Biology,Neural_Network,https://openreview.net/forum?id=hWmwL9gizZ
Improved Sampling Of Diffusion Models In Fluid Dynamics With Tweedie's Formula,ICLR_2025,Poster,Physics,Diffusion_Model,https://openreview.net/forum?id=0FbzC7B9xI
Incremental Causal Effect for Time to Treatment Initialization,ICLR_2025,Poster,Healthcare,,https://openreview.net/forum?id=0mtz0pet1z
Integrating Protein Dynamics into Structure-Based Drug Design via Full-Atom Stochastic Flows,ICLR_2025,Poster,Chemistry,,https://openreview.net/forum?id=9qS3HzSDNv
