Title,Conference,Type,Application,MLTech,OpenReviewLink
Geo-FNO: Fourier Neural Operator with Learned Deformations for PDEs on General Geometries,NeurIPS_2024,Poster,Physics,fourier_neural_operator;operator_learning;transformer,
FNP: Fourier Neural Processes for Arbitrary-Resolution Data Assimilation,NeurIPS_2024,Poster,Earth_climate,neural_process;fourier_transform;probabilistic_model,https://openreview.net/forum?id=4rrNcsVPDm
WeatherGFT: Generalizing Weather Forecast to Fine-grained Temporal Scales via Physics-AI Hybrid Modeling,NeurIPS_2024,Poster,Earth_climate,hybrid_physics_model;PDE_kernel;neural_network,https://openreview.net/forum?id=ioAlzcELTf
Fourier Amplitude and Correlation Loss: Beyond Using L2 Loss for Skillful Precipitation Nowcasting,NeurIPS_2024,Poster,Earth_climate,convolutional_network;fourier_loss;video_prediction,https://openreview.net/forum?id=0aN7VWwp4g
FIDE: Frequency-Inflated Conditional Diffusion Model for Extreme-Aware Time Series Generation,NeurIPS_2024,Poster,Earth_climate,diffusion_model;frequency_domain_model,https://openreview.net/forum?id=5HQhYiGnYb
Generative Modeling of Molecular Dynamics Trajectories,NeurIPS_2024,Poster,Chemistry,diffusion_like_generative;autoregressive_model,https://openreview.net/forum?id=yRRCH1OsGW
MolPhenix: Contrastive PhenoMolecular Retrieval (MolPhenix),NeurIPS_2024,Poster,Biology,contrastive_learning;dual_encoder,https://openreview.net/forum?id=LQBlSGeOGm
HEST-1k: A Dataset For Spatial Transcriptomics and Histology Image Analysis,NeurIPS_2024,Poster,Biology,dataset;multimodal_fusion;representation_learning,https://openreview.net/forum?id=mlhFJE7PKo
GENOT: Entropic (Gromov) Wasserstein Flow Matching with Applications to Single-Cell Genomics,NeurIPS_2024,Poster,Biology,optimal_transport;flow_matching;diffusion_process,https://openreview.net/forum?id=hjspWd7jvg
HEALNet: Multimodal Fusion for Heterogeneous Biomedical Data,NeurIPS_2024,Poster,Medical_healthcare,attention_fusion;multimodal_network,https://openreview.net/forum?id=HUxtJcQpDS
GIC: Gaussian-Informed Continuum for Physical Property Identification and Simulation,NeurIPS_2024,Poster,Materials,3d_gaussian_representation;inverse_problem_modeling,https://openreview.net/forum?id=SSCtCq2MH2
Fisher-Flow: Fisher Flow Matching for Generative Modeling over Discrete Data,NeurIPS_2024,Poster,Biology,flow_matching;riemannian_geometry,https://openreview.net/forum?id=6jOScqwdHU
PocketFlow (Protein-Ligand Interaction Priors for Pocket Generation),NeurIPS_2024,Poster,Chemistry,flow_matching;structure_guided_model,https://openreview.net/forum?id=WyVTj77KEV
FouRA: Fourier Low-Rank Adaptation (Applied to Vision Tasks with Potential Scientific Imaging),NeurIPS_2024,Poster,Unknown,low_rank_adaptation;frequency_projection,https://openreview.net/forum?id=qCJ1dq5M7N
